perf_date,Lasker Fund,LMR Multi-Strategy Fund Ltd,HG Vora Special Opportunities Fund,"BlackRock Strategic Equity HF Ltd, EUR",Golden Pine Feeder Fund,HG Vora Special Opportunities Fund
31/01/2006,0.0088,,,,,
28/02/2006,0.0083,,,,,
31/03/2006,0.0242,,,,,
30/04/2006,0.0146,,,,,
31/05/2006,-0.0325,,,,,
30/06/2006,0.0029,,,,,
31/07/2006,0.0192,,,,,
31/08/2006,0.0163,,,,,
30/09/2006,0.0111,,,,,
31/10/2006,0.0383,,,,,
30/11/2006,0.0197,,,,,
31/12/2006,0.0215,,,,,
31/01/2007,0.038,,,,,
28/02/2007,0,,,,,
31/03/2007,0.0129,,,,,
30/04/2007,0.025,,,,,
31/05/2007,0.0286,,,,,
30/06/2007,-0.0117,,,,,
31/07/2007,0.0395,,,,,
31/08/2007,-0.0283,,,,,
30/09/2007,0.005,,,,,
31/10/2007,0.0249,,,,,
30/11/2007,0.0007,,,,,
31/12/2007,0.0302,,,,,
31/01/2008,-0.067,,,,,
29/02/2008,0.0189,,,,,
31/03/2008,-0.01,,,,,
30/04/2008,0.0282,,,,,
31/05/2008,0.0095,,,,,
30/06/2008,-0.0255,,,,,
31/07/2008,-0.0449,,,,,
31/08/2008,-0.0049,,,,,
30/09/2008,-0.0009,,,,,
31/10/2008,0.0272,,,,,
30/11/2008,0.0006,,,,,
31/12/2008,-0.017,,,,,
31/01/2009,0.055,,,,,
28/02/2009,0.0672,,,,,
31/03/2009,-0.0198,,,,,
30/04/2009,-0.0061,,0.079999999,,,0.079999999
31/05/2009,0.0287,,0.0429,,,0.0429
30/06/2009,-0.0423,,0.0264,,,0.0264
31/07/2009,-0.0484,,0.03,,,0.03
31/08/2009,-0.0169,,0.0034,,,0.0034
30/09/2009,0.0077,,0.0234,,,0.0234
31/10/2009,-0.0132,,0.0005,,,0.0005
30/11/2009,-0.0177,,1.00E-04,,,1.00E-04
31/12/2009,0.019,,0.0285,,,0.0285
31/01/2010,0.003,,0.0241,,,0.0241
28/02/2010,0.035,0.0411,0.0098,,,0.0098
31/03/2010,-0.0389,0.07,0.057300001,,,0.057300001
30/04/2010,-0.0026,0.1297,0.0517,,,0.0517
31/05/2010,0.0174,-0.0953,-0.052900001,,,-0.052900001
30/06/2010,0.0203,0.0013,-0.0238,,,-0.0238
31/07/2010,-0.026,0.0522,0.0311,,,0.0311
31/08/2010,0.0062,0.0196,-0.0128,,,-0.0128
30/09/2010,-0.0186,0.014,0.0219,,,0.0219
31/10/2010,0.0105,0.0006,0.0283,,,0.0283
30/11/2010,0.0278,0.0418,-0.0134,,,-0.0134
31/12/2010,-0.0287,0.0086,0.034400001,,,0.034400001
31/01/2011,0.0525,0.0218,0.0198,,,0.0198
28/02/2011,0.0381,0.0069,-0.0044,,,-0.0044
31/03/2011,-0.0153,0.0602,0.003,,,0.003
30/04/2011,0.0284,-0.0179,0.004,,,0.004
31/05/2011,0.0076,0.0488,-0.001,,,-0.001
30/06/2011,0.0159,0.0757,-0.007,,,-0.007
31/07/2011,0.0463,0.0424,0.003,,,0.003
31/08/2011,-0.0201,0.0297,-0.057,,,-0.057
30/09/2011,0.0215,0.0082,-0.033,,,-0.033
31/10/2011,0.0123,0.0257,0.022,,,0.022
30/11/2011,-0.0073,0.0133,0.003,,,0.003
31/12/2011,0.0078,0.0206,0.026,0.0094825,,0.026
31/01/2012,0.0017,0.006,0.046,0.002423222,,0.046
29/02/2012,0.0016,0.0056,0.048,0.020885958,,0.048
31/03/2012,0.033,0.006,0.05,0.028180738,,0.05
30/04/2012,0.0005,0.0231,0.071000001,0.084499626,,0.071000001
31/05/2012,-0.0264,0,0.008,0.018197463,,0.008
30/06/2012,0.0284,0.0054,0.009,-0.01276537,,0.009
31/07/2012,0.0129,0.0001,0.006,0.044934208,,0.006
31/08/2012,0.0221,-0.0055,0.034000001,-0.021545274,,0.034000001
30/09/2012,0.0262,0.0228,0.011,0.014522151,,0.011
31/10/2012,-0.0073,0.0153,0.005,0.01586847,,0.005
30/11/2012,0.017,0.0067,0.014,0.032082,,0.014
31/12/2012,0.0018,-0.0069,0.034000001,-0.006557731,,0.034000001
31/01/2013,0.009,0.0356,0.034000001,0.021629086,,0.034000001
28/02/2013,0.0261,0.0043,-0.0051,0.043040191,,-0.0051
31/03/2013,0.0129,0.0098,0.0151,0.004238886,,0.0151
30/04/2013,-0.0202,0.0091,0.0339,0.003102178,,0.0339
31/05/2013,-0.003,0.01,0.0121,0.019019205,,0.0121
30/06/2013,-0.0009,0.0044,-0.0048,0.026919741,,-0.0048
31/07/2013,0.0207,0.015,0.0182,0.0155793,,0.0182
